Ruta;Tienda;L;U;Q
2001;2508;1;5;1,5
2001;2684;6;19;7,9
2001;3314;9;50;14
2001;3425;2;33;5,3
2001;3489;6;38;9,8
2001;3806;3;11;4,1
2001;3907;6;36;9,6
2001;4001;4;9;4,9
2001;4278;8;63;14,3
2001;4304;8;56;13,6
2001;4326;4;37;7,7
2001;4456;10;86;18,6
2001;4516;8;76;15,6
2001;4584;9;49;13,9
2001;4663;5;55;10,5
2001;4833;10;47;14,7
2001;4847;6;55;11,5
2001;4856;3;33;6,3
2001;4867;5;64;11,4
2001;4868;5;17;6,7
2001;5000;6;15;7,5
2002;2564;7;35;10,5
2002;2770;6;15;7,5
2002;3501;2;11;3,1
2002;4077;8;46;12,6
2002;4136;4;33;7,3
2002;4154;4;43;8,3
2002;4274;3;19;4,9
2002;4431;5;41;9,1
2002;4506;5;31;8,1
2002;4527;2;14;3,4
2002;4590;3;38;6,8
2002;4609;5;21;7,1
2002;4788;8;65;14,5
2002;4879;4;33;7,3
2002;4886;2;9;2,9
2002;4924;2;14;3,4
2002;5115;2;17;3,7
2002;5153;5;8;5,8
2003;2551;2;3;2,3
2003;2899;8;38;11,8
2003;2954;8;88;16,8
2003;3044;8;23;10,3
2003;3047;9;90;18
2003;3048;3;6;3,6
2003;3278;5;21;7,1
2003;3429;1;10;2
2003;3572;4;29;6,9
2003;3584;7;61;13,1
2003;3598;3;14;4,4
2003;3656;6;40;10
2003;3836;5;41;9,1
2003;3911;8;58;13,8
2003;4205;2;21;4,1
2003;4252;4;30;7
2003;4559;7;44;11,4
2003;4646;6;41;10,1
2003;4748;3;22;5,2
2003;5056;5;50;10
2003;5155;2;11;3,1
2003;5244;9;67;15,7
2004;2473;2;26;4,6
2004;2529;4;21;6,1
2004;2542;2;16;3,6
2004;2731;10;45;14,5
2004;2743;11;77;18,7
2004;2747;11;107;21,7
2004;2817;5;88;13,8
2004;2845;5;18;6,8
2004;2884;6;68;12,8
2004;2919;5;19;6,9
2004;3067;8;33;11,3
2004;3290;5;22;7,2
2004;3344;6;33;9,3
2004;3810;2;29;4,9
2004;3812;1;12;2,2
2004;3887;2;11;3,1
2004;3889;2;30;5
2004;3917;4;16;5,6
2004;3969;4;32;7,2
2004;4020;4;40;8
2004;4028;2;29;4,9
2004;4069;11;99;20,9
2004;4161;14;91;23,1
2004;4234;6;52;11,2
2004;4284;6;38;9,8
2004;4321;5;19;6,9
2004;4448;3;16;4,6
2004;4505;5;33;8,3
2004;4544;5;49;9,9
2004;4795;3;33;6,3
2004;4952;2;11;3,1
2004;4966;8;26;10,6
2004;5015;2;23;4,3
2004;5053;6;50;11
2004;5077;2;10;3
2004;5299;9;67;15,7
2005;2494;4;56;9,6
2005;2566;8;26;10,6
2005;2573;6;50;11
2005;2588;5;10;6
2005;2623;5;49;9,9
2005;2626;9;55;14,5
2005;2708;2;14;3,4
2005;2729;6;52;11,2
2005;2746;5;74;12,4
2005;2822;8;93;17,3
2005;3835;6;25;8,5
2005;3851;4;15;5,5
2005;3962;1;9;1,9
2005;4174;2;19;3,9
2005;4566;7;27;9,7
2005;4574;11;42;15,2
2005;4888;4;17;5,7
2005;5084;5;43;9,3
2006;2654;8;46;12,6
2006;2750;7;63;13,3
2006;2777;1;6;1,6
2006;2868;10;48;14,8
2006;2872;5;13;6,3
2006;3421;10;40;14
2006;3825;2;60;8
2006;3883;3;21;5,1
2006;3922;1;4;1,4
2006;4065;3;17;4,7
2006;4098;4;11;5,1
2006;4511;8;37;11,7
2006;4647;4;59;9,9
2006;4982;2;3;2,3
2006;5039;5;33;8,3
2006;5081;4;23;6,3
2006;5083;5;33;8,3
2006;5235;5;25;7,5
2007;2486;3;37;6,7
2007;2487;6;29;8,9
2007;2497;6;26;8,6
2007;2514;7;34;10,4
2007;2547;7;35;10,5
2007;2548;9;44;13,4
2007;2587;4;55;9,5
2007;2618;2;11;3,1
2007;2711;3;48;7,8
2007;2718;4;82;12,2
2007;2772;10;47;14,7
2007;2818;4;63;10,3
2007;2904;5;36;8,6
2007;3074;13;50;18
2007;3075;7;35;10,5
2007;3867;5;74;12,4
2007;3957;8;22;10,2
2007;3993;4;29;6,9
2007;4076;6;49;10,9
2007;4097;7;24;9,4
2007;4162;8;29;10,9
2007;4393;5;29;7,9
2007;4606;4;22;6,2
2007;4765;4;19;5,9
2007;4885;1;5;1,5
2007;5208;2;11;3,1
2007;5248;4;41;8,1
2008;2498;8;46;12,6
2008;2534;4;11;5,1
2008;2584;9;48;13,8
2008;2631;10;84;18,4
2008;2652;6;40;10
2008;2685;7;17;8,7
2008;2715;5;40;9
2008;2741;4;38;7,8
2008;2830;1;4;1,4
2008;2831;18;77;25,7
2008;3009;7;56;12,6
2008;3066;8;31;11,1
2008;3620;2;6;2,6
2008;3831;1;2;1,2
2008;3833;3;24;5,4
2008;3854;5;20;7
2008;3862;3;18;4,8
2008;3973;2;9;2,9
2008;4198;4;20;6
2008;4790;2;48;6,8
